Date,Year,Aircraft Type,Manufacturer,Registration,Operator,Fatalities,Location,Damage,Causes,Total Seats,Everyone Involved
3-Nov-21,2021,Beechcraft Super King Air,Beechcraft,,private,0,western Venezuela,w/o,Undetermined,0,0
3-Nov-21,2021,Transall C-160NG,Transall,EY-360,Safe Air Company (SAC),0,Dolow Airport,w/o,Fire,0,0
5-Nov-21,2021,Gulfstream ?,Gulfstream,,private,0,western Venezuela,w/o,Undetermined,0,0
5-Nov-21,2021,Gulfstream Aerospace G-1159A Gulfstream III,Gulfstream,N42FL,private,0,"near Victoria 3, Retalhuleu",w/o,Miscellaneous,0,0
6-Nov-21,2021,Antonov An-2R,Antonov,YR-PMW,Asociatia Club Sportiv Skydiving Center,0,Letca Noua Airfield,sub,Mechanical Failure ,0,0
14-Nov-21,2021,IAI 1125 Astra SP,IAI,N771DX,EMD Astra Holdings LLC,0,"Las Vegas-North Air Terminal, NV (VGT)",sub,Pilot Error,0,0
21-Nov-21,2021,Bombardier BD-100-1A10 Challenger 350,Bombardier,N743QS,NetJets,0,50 km N of Turks and Caicos Islands,non,Turbulence,0,0
25-Nov-21,2021,Airbus A320-251N,Airbus,PR-YRH,Azul Linhas Aéreas Brasileiras,0,"Cuiabá-Marechal Rondon International Airport, MT (CGB/SBCY)",non,Miscellaneous,0,0
28-Nov-21,2021,Beechcraft 200 Super King Air,Beechcraft,N71VT,Western Wings Corp,0,"Eugene Airport, OR (EUG)",sub,Pilot Error,0,0
29-Nov-21,2021,Boeing 747-4B5F,Boeing,N705CK,Kalitta Air,0,"between Santiago and Miami, FL",sub,Mechanical Failure ,0,0
1-Dec-21,2021,Cessna 510 Citation Mustang,Cessna,N81CB,private,0,"Lake Havasu City Airport, AZ (KHII)",sub,Pilot Error,0,0
1-Dec-21,2021,Cessna 208 Caravan I,Cessna,N9602F,Lake & Peninsula Airlines,0,"W of Port Alsworth Airport, AK (PTA)",sub,Pilot Error,0,0
5-Dec-21,2021,Airbus A350-941,Airbus,F-HNET,Air Caraïbes Atlantique,0,near Cayenne,non,Turbulence,0,0
5-Dec-21,2021,Cessna 560XL Citation Excel,Cessna,G-IPAX,Air Charter Scotland Ltd.,0,Kemi/Tornio Airport (KEM),sub,Pilot Error,0,0
11-Dec-21,2021,Boeing 737-8AS (WL),Boeing,EI-EMM,Ryanair,0,Dublin Airport (DUB/EIDW),non,Miscellaneous,0,0
12-Dec-21,2021,Airbus A320-251N,Airbus,N307FR,Frontier Airlines,0,"Las Vegas-McCarran International Airport, NV (LAS)",sub,Pilot Error,0,0
14-Dec-21,2021,Embraer EMB-500 Phenom 100,Embraer,PR-TDV,Dimed SA Distribuidora da Medicamentos,0,"Santa Rosa Airport, RS (SRA)",sub,Undetermined,0,0
17-Dec-21,2021,Beechcraft B200 Super King Air,Beechcraft,C-FSKO,Keewatin Air,0,"Sanikiluaq Airport, NU (YSK)",sub,Pilot Error,0,0
20-Dec-21,2021,Cessna 525 CitationJet,Cessna,N287CB,Cottingham & Butler Insurance Services,0,"Dubuque, IA",sub,Bird Strike,0,0
21-Dec-21,2021,Airbus A321-271NX,Airbus,N2084J,JetBlue Airways,0,"New York-John F. Kennedy International Airport, NY (JFK/KJFK)",non,Miscellaneous,0,0
21-Dec-21,2021,Learjet 35A,Learjet,XA-VDK,private,0,Cancún Airport (CUN/MMUN),w/o,Miscellaneous,0,0
25-Dec-21,2021,Airbus A330-343,Airbus,C-GFAF,Air Canada,0,"Montreal-Pierre Elliott Trudeau International Airport, QC (YUL)",sub,Mechanical Failure ,0,0
28-Dec-21,2021,Beechcraft A100 King Air,Beechcraft,N93GT,Sky-Bound Aviation LLC,0,"Helena-Thompson-Robbins Airport, AR (HEE)",sub,Miscellaneous,0,0
28-Dec-21,2021,Cessna 208B Grand Caravan,Cessna,Z-HAC,Halsted Aviation Corporation (HAC),0,Bazaruto Island Airport (BZB),w/o,Miscellaneous,0,0
30-Dec-21,2021,Embraer ERJ-170SE,Embraer,N633RW,"United Express, opb Republic Airlines",0,"Newark-Liberty International Airport, NJ (EWR)",sub,Miscellaneous,0,0
30-Dec-21,2021,Airbus A330-303,Airbus,TC-JOK,THY Turkish Airlines,0,"Newark-Liberty International Airport, NJ (EWR)",min,Miscellaneous,0,0
30-Dec-21,2021,Beechcraft 300 Super King Air,Beechcraft,TG-MAM,"Empresas Ginro, S.A.",0,Rio Dulce-Las Vegas Airport (LCF),w/o,Turbulence,0,0
31-Dec-21,2021,IRMA/Pilatus Britten-Norman BN-2T Islander,Pilatus,,Royal Moroccan Gendarmerie,0,off N'Tireft,unk,Pilot Error,0,0
3-Jan-22,2022,Beechcraft 200 King Air,Beechcraft,G-GHSV,Lyddair Opf. Atlantic Bridge Aviation Ltd,0,Exeter Airport (EXT/EGTE),min,Mechanical Failure,0,0
3-Jan-22,2022,British Aerospace 4121 Jetstream 41,BAE,ZS-NRJ,SA Airlink,0,near Venetia Mine Airport,sub,Bird Strike,0,0
4-Jan-22,2022,British Aerospace 3101 Jetstream 31,BAE,HR-AYY,LANHSA - Línea Aérea Nacional de Honduras S.A,0,Roatán-Juan Manuel Gálvez International Airport (RTB),sub,Mechanical Failure,0,0
5-Jan-22,2022,Boeing 737-4H6,Boeing,EP-CAP,Caspian Airlines,0,Isfahan-Shahid Beheshti Airport (IFN),sub,Mechanical Failure,0,0
8-Jan-22,2022,Tupolev Tu-204-100C,Tupolev,RA-64032,"Cainiao, opb Aviastar-TU",0,Hangzhou Xiaoshan International Airport (HGH),w/o,Fire,0,0
12-Jan-22,2022,Beechcraft 200 Super King Air,Beechcraft,,private,0,"Machakilha, Toledo District, Grahem Creek area",w/o,Fire,0,0
16-Jan-22,2022,Airbus A320-214 (WL),Airbus,JA24MC,Star Flyer,0,near Okayama City,non,Turbulence,0,0
19-Jan-22,2022,Cessna 208B Grand Caravan EX,Cessna,YV3033,Mahan Air,0,"near Vakilabad, Arzuiyeh",sub,Miscellaneous,0,0
22-Jan-22,2022,Airbus A320-232,Airbus,N760JB,JetBlue Airways,0,"Hayden-Yampa Valley Airport, CO (HDN)",sub,Pilot Error,0,0
27-Jan-22,2022,Bombardier CL-600-2B16 Challenger 604,Bombardier,2-SLOW,Volare Aviation,0,Heraklion-N. Kazantzakis Airport (HER/LGIR),sub,Mechanical Failure,0,0
31-Jan-22,2022,Bombardier CL-600-2B16 Challenger 604,Bombardier,N999PX,Lima Delta Co Trustee,0,London-Stansted Airport (STN),sub,Miscellaneous,0,0
31-Jan-22,2022,Beechcraft B300 King Air 350,Beechcraft,C-GEAS,"Air Tindi, opf Royal Canadian Air Force - RCAF",0,"Thunder Bay Airport, ON (YQT)",sub,Miscellaneous,0,0
2-Feb-22,2022,Hawker 1000,Hawker,N207K,Skyview LLC,0,"Islip-Long Island MacArthur Airport, NY (ISP)",sub,Mechanical Failure,0,0
5-Feb-22,2022,Cessna 208B Grand Caravan,Cessna,5H-TAZ,Care Aviation,0,New Fangak Airstrip,sub,Undetermined,0,0
7-Feb-22,2022,Embraer ERJ-190-100LR,Embraer,OH-LKK,Finnair,0,København-Kastrup Airport (CPH),sub,Miscellaneous,0,0
8-Feb-22,2022,Antonov An-26,Antonov,SP-402,South Sudanese Air Force,0,Agok Airstrip,sub,Runway,0,0
11-Feb-22,2022,Cessna 501 Citation I/SP,Cessna,LV-JUO,Aviajet SA,0,"Morón-Ituzaingo Airport, BA",sub,Mechanical Failure,0,0
14-Feb-22,2022,Let L-410UVP-E3,Let,9S-GFA,Doren Air Congo,0,Bukavu-Kavumu Airport (BKY),w/o,Fire,0,0
15-Feb-22,2022,ATR 42-500,ATR,JA04JC,Japan Air Commuter,0,55 km NNW of Osaka Airport,non,Turbulence,0,0
15-Feb-22,2022,Britten-Norman BN-2A-9 Islander,Britten-Norman,N821RR,Air Flamenco,0,Culebra Airport (CPX),sub,Pilot Error,0,0
16-Feb-22,2022,Swearingen SA226-AT Merlin IV,Swearingen,HK-5225,Colcharter,0,San Andres Island-Gustavo Rojas Pinilla Airport (ADZ),sub,Undetermined,0,0
18-Feb-22,2022,Embraer EMB-500 Phenom 100E,Embraer,N68NH,Eclipse Transport LLC,0,"Detroit-Coleman A. Young International Airport, MI (DET)",sub,Pilot Error,0,0
21-Feb-22,2022,de Havilland Canada DHC-3T Texas Turbine Otter,de Havilland Canada,N413JP,Bald Mountain Air Services,0,"Umiat Airport, AK (UMT)",sub,Pilot Error,0,0
21-Feb-22,2022,Raytheon Hawker 800XP,Raytheon,N99AP,Roper Aviation LLC,0,"Aspen-Pitkin County Airport, CO (ASE/KASE)",sub,Pilot Error,0,0
23-Feb-22,2022,Cessna 208B Grand Caravan,Cessna,5X-ASD,Air Serv Limited,0,Bor Airport (HSBR),sub,Miscellaneous,0,0
23-Feb-22,2022,Antonov An-2,Antonov,,Taraz Zhana Alem,0,10 km S of Aralsk,w/o,Miscellaneous,0,0
24-Feb-22,2022,Antonov An-22A,Antonov,UR-09307,Antonov Airlines,0,Kyiv-Gostomel Airport (GML),sub,Miscellaneous,0,0
24-Feb-22,2022,Antonov An-26-100,Antonov,UR-13395,Antonov Airlines,0,Kyiv-Gostomel Airport (GML),w/o,Miscellaneous,0,0
24-Feb-22,2022,Antonov An-74T,Antonov,UR-74010,Antonov Airlines,0,Kyiv-Gostomel Airport (GML),w/o,Miscellaneous,0,0
24-Feb-22,2022,Cessna 208B Supervan 900,Cessna,N10JA,GoJump Oceanside,0,"0,4 km NE of Oceanside Municipal Airport, CA (OCN/KOKB)",sub,Pilot Error,0,0
27-Feb-22,2022,Antonov An-124-100,Antonov,UR-82009,Antonov Airlines,0,Kyiv-Gostomel Airport (GML),sub,Miscellaneous,0,0
27-Feb-22,2022,Antonov An-225,Antonov,UR-82060,Antonov Airlines,0,Kyiv-Gostomel Airport (GML),w/o,Miscellaneous,0,0
28-Feb-22,2022,Cessna 208B Grand Caravan,Cessna,N108RF,Revolution Flight,0,"Campbellton, TX",sub,Pilot Error,0,0
28-Feb-22,2022,Embraer ERJ 170-200 LR (ERJ-175LR),Embraer,N402YX,"American Eagle, opb Republic Airlines",0,"Washington-Ronald Reagan National Airport, DC (DCA)",min,Runway,0,0
28-Feb-22,2022,Cessna 208B Grand Caravan EX,Cessna,PK-FSW,Spirit Avia Sentosa,0,Bilogai/Sugapa Airport (ZGP),sub,Mechanical Failure,0,0
2-Mar-22,2022,Embraer EMB-500 Phenom 100,Embraer,LV-GQN,Flyzar,0,"Angra dos Reis Airport, RJ (SDAG)",sub,Miscellaneous,0,0
3-Mar-22,2022,Boeing 737-8AS (WL),Boeing,EI-DHH,Ryanair,0,Ibiza Airport (LEIB),non,Miscellaneous,0,0
5-Mar-22,2022,Dornier 228-101,Dornier,CG756,Indian Coast Guard,0,Kanpur Air Force Station (VICX),sub,Mechanical Failure,0,0
6-Mar-22,2022,Beechcraft 200 Super King Air,Beechcraft,N8170J,HLAF AETA LLC,0,"Gulfport-Biloxi International Airport, MS (GPT)",sub,Mechanical Failure,0,0
7-Mar-22,2022,Cessna 525B CitationJet CJ3,Cessna,N22AU,Ozark Air Services,0,"Baltimore-Martin State Airport, MD (MTN)",sub,Mechanical Failure,0,0
8-Mar-22,2022,Cessna 208 Caravan I,Cessna,C-GIPR,Bamaji Air,0,"17 km NNW of Sioux Lookout Airport, ON (YXL)",w/o,Undetermined,0,0
9-Mar-22,2022,Honda HA-420 HondaJet,Honda,N903JT,Jet It LLC,0,"Pittsburgh-Allegheny County Airport, PA (AGC)",sub,Miscellaneous,0,0
12-Mar-22,2022,Beechcraft 1900D,Beechcraft,HP-1948BT,Bocas Air,0,Panama City Albrook-Marcos A. Gelabert International Airport (PAC),sub,Miscellaneous,0,0
17-Mar-22,2022,Cessna 208B Super Cargomaster,Cessna,N78SA,Martinaire,0,"Dallas/Fort Worth International Airport, TX (DFW/KDFW)",min,Miscellaneous,0,0
17-Mar-22,2022,Cessna 208B Super Cargomaster,Cessna,N9469B,Martinaire,0,"Dallas/Fort Worth International Airport, TX (DFW/KDFW)",sub,Pilot Error,0,0
26-Mar-22,2022,Boeing 767-346ER,Boeing,JA603J,Japan Airlines (JAL),0,90 km E of Nagoya,non,Turbulence,0,0
29-Mar-22,2022,Beechcraft B200 Super King Air,Beechcraft,N469SL,"Integrated Pain Associates, Pllc",0,"Odessa, Texas",non,Turbulence,0,0
1-Apr-22,2022,Embraer EMB-110P2 Bandeirante,Embraer,TG-TAN,TAG Airlines,0,Belize City-Philip S.W. Goldson International Airport (BZE),sub,Miscellaneous,0,0
2-Apr-22,2022,Learjet 75,Learjet,N877W,Georgia Crown Distributing Co.,0,"Morristown Municipal Airport, NJ (MMU)",sub,Pilot Error,0,0
7-Apr-22,2022,Boeing 757-27A (PCF),Boeing,HP-2010DAE,DHL Aero Expreso,0,San José-Juan Santamaria International Airport (SJO),w/o,Mechanical Failure,0,0
8-Apr-22,2022,Aero Modifications AMI DC-3-65TP,Aero,HK-5016,ALIANSA Colombia,0,San Felipe Airport,sub,Runway,0,0
11-Apr-22,2022,Beechcraft A100 King Air,Beechcraft,C-GYQK,Thunder Airlines,0,"Timmins Airport, ON (YTS)",sub,Mechanical Failure,0,0
13-Apr-22,2022,Gulfstream American G-1159 Gulfstream II B,Gulfstream,N511PK,private,0,within Venezuela,w/o,Miscellaneous,0,0
13-Apr-22,2022,Basler BT-67 Turbo 67,Basler,PNC0257,Servicio Aéreo de Policia,0,Villavicencio-La Vanguardia Airport (VVC),sub,Pilot Error,0,0
14-Apr-22,2022,Fairchild SA227-DC Metro 23,Fairchild,N820DC,Denver Air Connection,0,"Denver International Airport, CO (DEN/KDEN)",sub,Mechanical Failure,0,0
17-Apr-22,2022,Embraer EMB-505 Phenom 300,Embraer,PP-LGD,VOAR Cooperativa,0,"Maraú-Barra Grande Airport, BA (SIRI)",sub,Pilot Error,0,0
17-Apr-22,2022,Cessna 525B CitationJet CJ3,Cessna,N225SC,GP Aviation LLC,0,"Caldwell Wright Airport, NJ (CDW)",sub,Pilot Error,0,0
26-Apr-22,2022,Boeing 737-8AS (WL),Boeing,EI-ENK,Ryanair,0,Almería Airport (LEI),non,Miscellaneous,0,0
30-Apr-22,2022,Beechcraft 99A Airliner,Beechcraft,N699CZ,Freight Runners Express,0,"Milwaukee-General Mitchell Airport (MKE/KMKE), Milwaukee, WI",sub,Mechanical Failure,0,0
30-Apr-22,2022,Cessna 208B Grand Caravan,Cessna,F-GXMP,Centre Ecole de Parachutisme Sportif de l'Ariège,0,Pamiers/Les Pujols Airport,sub,Pilot Error,0,0
1-May-22,2022,Boeing 737-8AS (WL),Boeing,VT-SLH,SpiceJet,0,E of Durgapur,unk,Turbulence,0,0
3-May-22,2022,Shorts 360-300,Short,N744LG,Air Cargo Carriers,0,San Juan-Luis Muñoz Marín International Airport (SJU),sub,Pilot Error,0,0
6-May-22,2022,Beechcraft 200 Super King Air,Beechcraft,CC-CDY,Sociedad De Transporte Aéreo Movi Air SPA,0,Santiago-Arturo Merino Benitez Airport (SCL),sub,Mechanical Failure,0,0
6-May-22,2022,Boeing 737-82R (WL),Boeing,YR-BMM,Blue Air,0,Napoli-Capodichino Airport (NAP),sub,Miscellaneous,0,0
10-May-22,2022,Boeing 737-883 (WL),Boeing,LN-RRH,SAS Scandinavian Airlines,0,between Stavanger and Oslo,non,Miscellaneous,0,0
12-May-22,2022,Airbus A319-115 (WL),Airbus,B-6425,Tibet Airlines,0,Chongqing Jiangbei International Airport (CKG/ZUCK),w/o,Pilot Error,0,0
20-May-22,2022,Embraer EMB-110P1 Bandeirante,Embraer,PT-SHN,Sales Taxi Aéreo,0,"Eldorado do Sul, RS",sub,Mechanical Failure,0,0
21-May-22,2022,Beechcraft B300 King Air 350C,Beechcraft,N98FM,Textron Aviation,0,"Fort Stockton-Pecos County Airport (FST/KFST), Fort Stockton, TX",sub,Pilot Error,0,0
21-May-22,2022,Boeing 737-7H4 (WL),Boeing,N256WN,Southwest Airlines,0,"Tacoma, Washington",non,Undetermined,0,0
24-May-22,2022,de Havilland Canada DHC-3T Turbine Otter,de Havilland Canada,N703TH,Yakutat Coastal Airlines,0,"near Dry Bay Airport, AK",sub,Pilot Error,0,0
25-May-22,2022,Airbus A320-232,Airbus,N483UA,United Airlines,0,"Springfield, MO",non,Turbulence,0,0
27-May-22,2022,Boeing 787-9 Dreamliner,Boeing,A6-BLF,Etihad Airways,0,between Abu Dhabi and Lahore,unk,Turbulence,0,0
28-May-22,2022,Beechcraft B200 King Air,Beechcraft,ZS-PTE,Unknown,0,near Lynedoch Private Airfield,sub,Undetermined,0,0
2-Jun-22,2022,Cessna 525 CitationJet,Cessna,N131PL,Kam Aviation LLC,0,"Natchitoches Regional Airport, LA",sub,Turbulence,0,0
4-Jun-22,2022,Cessna 208 Caravan I,Cessna,N90JF,Connecticut Parachutists,0,"Ellington Airport, CT (7B9)",sub,Pilot Error,0,0
7-Jun-22,2022,Shorts SC.7 Skyvan 3-200,Short,N731E,Alaskan Air Charter,0,"Chisana Field, AK (CZN)",sub,Mechanical Failure,0,0
7-Jun-22,2022,Bombardier BD-100-1A10 Challenger 300,Bombardier,N694PD,Pacific Dental Services,0,"Hawthorne Airport, CA (HHR)",min,Miscellaneous,0,0
10-Jun-22,2022,Airbus A319,Airbus,,,0,near Düsseldorf,non,Turbulence,0,0
13-Jun-22,2022,Cessna 550 Citation II,Cessna,N550GX,Northern Meridian LLC,0,"Fargo-Hector International Airport, ND (FAR)",sub,Miscellaneous,0,0
15-Jun-22,2022,Beechcraft B200 Super King Air,Beechcraft,OO-LET,ASL - Air Service Liege,0,Liège Airport (LGG),sub,Undetermined,0,0
16-Jun-22,2022,Boeing 737-3M8 (QC),Boeing,9S-ABJ,Gomair,0,Kananga Airport (KGA),sub,Mechanical Failure,0,0
17-Jun-22,2022,Boeing 777-228ER,Boeing,F-GSPQ,Air France,0,"New York-John F. Kennedy International Airport, NY (JFK)",min,ATC/Pilot Miscommunication,0,0
17-Jun-22,2022,Airbus A330-202,Airbus,EI-EJL,ITA Airways,0,"New York-John F. Kennedy International Airport, NY (JFK)",min,ATC/Pilot Miscommunication,0,0
21-Jun-22,2022,McDonnell Douglas MD-82,Boeing,HI1064,RED Air,0,"Miami International Airport, FL (MIA)",w/o,Mechanical Failure,0,0
22-Jun-22,2022,Antonov An-30M,Antonov,30001,NPP Mir,0,70 km SE of Olenyok Airport (ONK),sub,Mechanical Failure,0,0
24-Jun-22,2022,Fokker F-27 Friendship 500,Fokker,5Y-CCE,Icon Aviation,0,Juba Airport (JUB),unk,Undetermined,0,0
25-Jun-22,2022,de Havilland Canada DHC-8-402Q Dash 8,de Havilland Canada,JA854A,"All Nippon Airways - ANA, opb ANA Wings",0,40 km WSW of Tokushima Airport,non,Turbulence,0,0
26-Jun-22,2022,Cessna 208 Supervan 900,Cessna,N265KP,Alaska Seaplanes,0,"Elfin Cove Seaplane Base, AK (ELV)",sub,Pilot Error,0,0
1-Jun-22,2022,Antonov An-2R,Antonov,RA-17951,Voskhod LLC,0,near Oymyakon Airfield,sub,Undetermined,0,0
1-Jul-22,2022,Antonov An-12BK,Antonov,UR-11316,Motor Sich,0,Uzhgorod Airport (UKLU),sub,Pilot Error,0,0
1-Jul-22,2022,Boeing 737-7H4 (WL),Boeing,N480WN,Southwest Airlines,0,"Santa Ana-John Wayne International Airport, CA (SNA/KSNA)",non,Miscellaneous,0,0
13-Jul-22,2022,Gulfstream G450,Gulfstream,HZ-A23,Alpha Star Aviation Services,0,Jeddah-King Abdulaziz International Airport (JED),sub,Undetermined,0,0
13-Jul-22,2022,Cessna 208B Super Cargomaster,Cessna,N877FE,Corporate Air,0,"Salt Lake City International Airport, UT (SLC)",sub,Pilot Error,0,0
15-Jul-22,2022,Raytheon Beechjet 400A,Raytheon,N400MX,"Aircraft Management Group, Inc",0,"Brunswick-Glynco Jetport, GA (BQK)",sub,Bird Strike,0,0
16-Jul-22,2022,Boeing 737-81D (WL),Boeing,JA807X,Solaseed Air,0,120 km SW of Naha Airport,non,Turbulence,0,0
16-Jul-22,2022,Fokker 50,Fokker,5Y-JSN,Icon Aviation,0,Rubkona Airport,sub,Mechanical Failure,0,0
18-Jul-22,2022,Fokker 50,Fokker,5Y-JXN,Jubba Airways,0,Mogadishu Aden Adde International Airport (MGQ),w/o,Miscellaneous,0,0
20-Jul-22,2022,Airbus A321-271NX,Airbus,HA-LGA,Wizz Air,0,Budapest Ferenc Liszt International Airport (BUD/LHBP),non,Miscellaneous,0,0
21-Jul-22,2022,Cessna 680 Citation Sovereign,Cessna,C-GDCP,Anderson Air,0,"Kotzebue-Ralph Wien Memorial Airport, AK (OTZ)",sub,Runway,0,0
22-Jul-22,2022,Antonov An-2,Antonov,ST-AUD,Crop Protection Company,0,W of Omdurman Al Hara,sub,Undetermined,0,0
24-Jul-22,2022,Boeing 717-2BD,Boeing,N945AT,Delta Air Lines,0,"Montreal-Pierre Elliott Trudeau International Airport, QC (YUL)",sub,Miscellaneous,0,0
25-Jul-22,2022,Airbus A320-214,Airbus,N950AV,Avianca,0,Rionegro/Medellín-José María Córdova Airport (MDE/SKRG),non,Miscellaneous,0,0
28-Jul-22,2022,de Havilland Canada DHC-3T Vazar Turbine Otter,de Havilland Canada,N320KT,Rust's Flying Service,0,"Talkeetna Airport, AK (TKA)",sub,Pilot Error,0,0
30-Jul-22,2022,Boeing 737-86N (WL),Boeing,HS-DBR,Nok Air,0,Chiang Rai-Mae Fah Luang International Airport (CEI),sub,Pilot Error,0,0
5-Aug-22,2022,Boeing 777-FDZ,Boeing,A7-BFH,Qatar Airways Cargo,0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",sub,ATC/Pilot Miscommunication,0,0
6-Aug-22,2022,Boeing 757-251 (WL),Boeing,N540US,Delta Air Lines,0,"Atlanta Hartsfield-Jackson International Airport, GA (ATL/KATL)",sub,Pilot Error,0,0
7-Aug-22,2022,IAI 1124 Westwind,IAI,PR-OMX,Brasil Vida Táxi Aéreo,0,"Goiânia-Nacional de Aviação Aerodrome, GO (SBNV)",sub,Mechanical Failure,0,0
15-Aug-22,2022,Cessna 560 Citation Encore,Cessna,N977MR,"Raber Flight Services, LLC",0,"Aspen-Pitkin County Airport, CO (ASE/KASE)",sub,Undetermined,0,0
17-Aug-22,2022,Antonov An-24B,Antonov,RA-47848,Angara Airlines,0,Ust-Kut Airport (UKX),sub,Pilot Error,0,0
19-Aug-22,2022,Boeing 737-824 (WL),Boeing,N73270,United Airlines,0,"Pharisburg, OH",non,Turbulence,0,0
20-Aug-22,2022,Beechcraft 99,Beechcraft,N399TS,PACC Air,0,"Oshkosh-Wittman Field, WI (OSH)",sub,Mechanical Failure,0,0
29-Aug-22,2022,Boeing 717-2BD,Boeing,N946AT,Delta Air Lines,0,"E of Detroit, MI",non,Turbulence,0,0
30-Aug-22,2022,Cessna 208B Grand Caravan EX,Cessna,PK-SNW,Smart Cakrawala Aviation,0,Sinak Airport (NKD),sub,Miscellaneous,0,0
31-Aug-22,2022,Cessna 208B Grand Caravan EX,Cessna,N208JM,Private,0,ca 1 km S of Abu Dhabi-Bateen Airport (AZI),w/o,Pilot Error,0,0
1-Sep-22,2022,Boeing 737-824 (WL),Boeing,N76529,United Airlines,0,"Denver International Airport, CO (DEN/KDEN)",non,Turbulence,0,0
2-Sep-22,2022,Antonov An-2R,Antonov,RA-56534,2nd Arkhangelsk United Aviation Division,0,Nes,sub,Undetermined,0,0
4-Sep-22,2022,Airbus A220-100,Airbus,N113DQ,Delta Air Lines,0,"near New York-La Guardia Airport, NY (LGA/KLGA)",non,Turbulence,0,0
4-Sep-22,2022,Boeing 777-F1H,Boeing,D-AALU,AeroLogic,0,Frankfurt International Airport (FRA/EDDF),non,Miscellaneous,0,0
7-Sep-22,2022,Cessna 750 Citation X,Cessna,N15TZ,"BVS, Inc",0,"Phoenix-Mesa Gateway Airport, AZ (AZA)",sub,Pilot Error,0,0
9-Sep-22,2022,Learjet 36,Learjet,N26FN,Strategic Airborne Operations,0,"San Diego-North Island NAS, CA (NZY)",sub,Pilot Error,0,0
9-Sep-22,2022,Cirrus SF50 Vision Jet,Cirrus,N77VJ,TAC9 Inc.,0,"10 km SSW of Kissimmee Gateway Airport, FL (ISM)",sub,Pilot Error,0,0
15-Sep-22,2022,Fairchild SA227-AC Metro III,Fairchild,XA-UMW,Aeronaves TSM,0,near Ramos Arizpe,sub,Mechanical Failure,0,0
19-Sep-22,2022,Beechcraft 1900C-1,Beechcraft,TN-AIQ,Equaflight Services,0,Pointe-Noire Agostinho-Neto International Airport (PNR),sub,Mechanical Failure,0,0
20-Sep-22,2022,Dassault Falcon 2000,Dassault,ZS-PKR,Pepkor Group,0,Pietermaritzburg Airport (PZB),sub,Bird Strike,0,0
20-Sep-22,2022,Cessna 525B CitationJet CJ3,Cessna,N528DV,Pacific Cataract & Laser Institute Inc Pc,0,"Pasco-Tri-Cities Airport, WA (PSC)",w/o,Pilot Error,0,0
21-Sep-22,2022,Britten Norman BN-2A-8 Islander,Britten,8R-GGT,Jags Aviation,0,Eteringbang Airport (SYET),sub,Miscellaneous,0,0
21-Sep-22,2022,Rockwell Sabreliner 65,Rockwell,XB-RXG,private,0,within Zulia,w/o,Fire,0,0
22-Sep-22,2022,Boeing 737-8HC (WL),Boeing,TC-SOG,SunExpress,0,Köln/Bonn-Konrad Adenauer Airport (CGN/EDDK),sub,Miscellaneous,0,0
22-Sep-22,2022,Antonov An-2R,Antonov,ST-AUE,Crop Protection Company,0,"Yassin, east Darfur",sub,Undetermined,0,0
24-Sep-22,2022,Boeing 737-436 (SF),Boeing,EC-NLS,"Swiftair, opf West Atlantic (UK)",0,Montpellier-Méditerranée Airport (MPL),sub,Pilot Error,0,0
25-Sep-22,2022,Boeing 737-8V3 (WL),Boeing,HP-1539CMP,Copa Airlines,0,Panama City-Tocumen International Airport (PTY),sub,Miscellaneous,0,0
25-Sep-22,2022,Fokker 50,Fokker,5Y-FAI,Freedom Airline Express,0,Nairobi-Jomo Kenyatta International Airport (NBO/HKJK),sub,Miscellaneous,0,0
27-Sep-22,2022,Cessna 550 Citation II,Cessna,N409ST,ABS Equipment Leasing,0,"Waco-McGregor Executive Airport, TX (KPWG)",sub,Mechanical Failure,0,0
28-Sep-22,2022,Boeing 757-256 (WL),Boeing,TF-FIK,Icelandair Flugfélag Islands,0,London-Heathrow Airport (LHR),sub,Miscellaneous,0,0
28-Sep-22,2022,Boeing 777-3B5ER,Boeing,HL7782,Korean Air,0,London-Heathrow Airport (LHR),sub,Miscellaneous,0,0
29-Sep-22,2022,Boeing 737-7CT (WL),Boeing,N7881A,Southwest Airlines,0,"Denver International Airport, CO (DEN/KDEN)",non,Turbulence,0,0
1-Oct-22,2022,Boeing 737-8GJ (WL),Boeing,F-GZHA,Transavia France,0,Nantes Atlantique Airport (NTE),sub,Pilot Error,0,0
3-Oct-22,2022,Boeing 737-8Q3 (WL),Boeing,JA07RK,Japan Transocean Air,0,near Miho Airport,non,Turbulence,0,0
3-Oct-22,2022,Embraer EMB-545 Legacy 450,Embraer,N179SP,Partee Aviation LLC,0,"Houston-William P. Hobby Airport, TX (HOU)",sub,Mechanical Failure,0,0
3-Oct-22,2022,Britten-Norman BN-2A-21 Islander,Britten-Norman,VH-WQA,Torres Strait Air,0,"Moa Island, Torres Strait",sub,Pilot Error,0,0
5-Oct-22,2022,ATR 42-500,ATR,SX-EIT,Sky Express,0,Athens-Elefthérios Venizélos International Airport (ATH/LGAV),sub,Miscellaneous,0,0
12-Oct-22,2022,Honda HA-420 HondaJet,Honda,N704JT,Jupiter Aviation LLC,0,"West Michigan Regional Airport (BIV/KBIV), Holland, MI",sub,Pilot Error,0,0
