Date,Year,Aircraft Type,Manufacturer,Registration,Operator,Fatalities,Location,Damage,Causes,Total Seats,Everyone Involved
7-Mar-21,2021,Embraer EMB-120ER Brasilia,Embraer,N233SW,Berry Aviation,0,"Detroit-Willow Run Airport, MI (YIP)",sub,Undetermined,0,0
10-Mar-21,2021,Cessna 208B Grand Caravan,Cessna,PK-MAD,Mission Aviation Fellowship - MAF,0,Angguruk Airstrip,sub,Runway,0,0
12-Mar-21,2021,Cessna 208B Grand Caravan,Cessna,N407GV,Grant Aviation,0,"Chevak Airport, AK (VAK)",sub,Miscellaneous,0,0
15-Mar-21,2021,Boeing 777-223ER,Boeing,N789AN,American Airlines,0,"Fort Worth, Texas",non,Miscellaneous,0,0
16-Mar-21,2021,Bombardier CRJ-701ER,Bombardier,N706SK,Skywest Airlines,0,"Los Angeles International Airport, CA (LAX/KLAX)",non,Maintenance ,0,0
18-Mar-21,2021,Airbus A320-232,Airbus,XA-VAZ,Viva Aerobus,0,Puerto Vallarta-Gustavo D. Ordaz Airport (PVR),sub,Maintenance ,0,0
19-Mar-21,2021,Antonov An-2T,Antonov,YV3312,Venezuela Flight Canaima,0,Kapaure,sub,Maintenance ,0,0
20-Mar-21,2021,Boeing 737-4Y0,Boeing,PK-YSF,Trigana Air Service,0,Jakarta-Halim Perdana Kusuma Airport (HLP),sub,Mechanical Failure,0,0
23-Mar-21,2021,Saab 340AF,Saab,SP-KPU,SprintAir,0,Gdansk-Lech Walesa Airport (GDN),sub,Pilot Error,0,0
25-Mar-21,2021,Embraer,Embraer,,Mauritania Airlines International,0,Nouakchott-Oumtounsy International Airport (NKC),non,Miscellaneous,0,0
26-Mar-21,2021,Beechcraft B200 Super King Air,Beechcraft,5Y-NJS,West Wind Aviation Ltd.,0,Nairobi,w/o,Mechanical Failure,0,0
28-Mar-21,2021,Embraer EMB-145LR,Embraer,N650AE,"American Eagle , opb Piedmont Airlines",0,"Charlotte-Douglas International Airport, NC (CLT/KCLT)",non,Turbulence,0,0
2-Apr-21,2021,Boeing 737-8AS (WL),Boeing,9H-QCJ,Malta Air,0,Malta-Luqa Airport (MLA),min,Pilot Error,0,0
3-Apr-21,2021,Cessna 208B Grand Caravan,Cessna,N215MC,Everts Air Cargo,0,"Fairbanks International Airport, AK (FAI/PAFA)",sub,Mechanical Failure,0,0
8-Apr-21,2021,Antonov An-2,Antonov,RA-40...,Unknown,0,Omsk,w/o,Miscellaneous,0,0
9-Apr-21,2021,Boeing C-17A Globemaster III,Boeing,10-0223,United States Air Force - USAF,0,"Charleston AFB, SC (CHS)",sub,Fire,0,0
14-Apr-21,2021,Cessna 525A CitationJet CJ2+,Cessna,JA001T,private,0,"3,7 km W of Osaka/Yao Airport (RJOY)",sub,Bird Strike,0,0
